Stream,Interest,Math_Score,Communication_Score,Technical_Skill_Score,Creativity_Score,Aptitude_Score,Skill_Level,Recommended_Career
PCMB,AI,82,83,77,85,40,Beginner,Genetic Engineer
PCMB,Biotech,41,62,86,61,92,Advanced,Bioinformatics Scientist
PCB,Healthcare,65,86,76,94,85,Advanced,Nutritionist
Commerce,Business,75,94,95,65,90,Advanced,Investment Banker
PCM,Data,82,91,54,59,43,Beginner,Software Developer
PCM,Engineering,68,63,46,100,91,Advanced,Software Developer
PCMB,Biotech,74,58,86,80,58,Beginner,Biomedical Engineer
PCB,Research,43,95,97,44,77,Intermediate,Microbiologist
Arts,Human Behavior,57,90,99,60,67,Intermediate,Graphic Designer
PCB,Research,85,65,84,75,93,Advanced,Nurse
PCB,Research,49,93,59,88,47,Beginner,Nutritionist
PCM,Engineering,43,49,53,55,85,Advanced,Data Scientist
PCB,Healthcare,77,96,97,76,100,Advanced,Nurse
PCB,Research,73,72,67,81,77,Intermediate,Doctor
PCMB,AI,60,53,52,71,73,Intermediate,Biomedical Engineer
PCMB,AI,83,42,40,93,68,Intermediate,Bioinformatics Scientist
PCM,Data,40,93,91,71,85,Advanced,Software Developer
PCM,Technology,47,51,72,42,71,Intermediate,Data Scientist
PCM,Technology,57,99,42,47,78,Intermediate,Data Scientist
Commerce,Finance,62,61,59,92,74,Intermediate,Business Analyst
PCB,Healthcare,77,52,74,55,53,Beginner,Doctor
Commerce,Finance,41,54,83,100,64,Intermediate,Financial Analyst
PCMB,Research,62,89,57,82,61,Intermediate,Bioinformatics Scientist
PCB,Healthcare,81,40,58,52,89,Advanced,Doctor
Commerce,Marketing,84,40,50,75,53,Beginner,Financial Analyst
Arts,Design,74,43,95,52,94,Advanced,Graphic Designer
PCB,Research,47,43,72,79,43,Beginner,Pharmacist
PCB,Medical,100,55,92,58,88,Advanced,Doctor
PCM,Technology,93,58,85,47,70,Intermediate,Civil Engineer
Commerce,Marketing,70,58,57,83,64,Intermediate,Business Analyst
Arts,Human Behavior,82,54,41,97,42,Beginner,Psychologist
PCMB,Research,67,90,87,81,93,Advanced,Biomedical Engineer
PCM,AI,64,42,97,87,52,Beginner,AI Engineer
PCM,Data,85,74,58,47,80,Intermediate,AI Engineer
PCMB,Research,83,95,82,43,50,Beginner,Bioinformatics Scientist
PCMB,Research,41,62,75,65,69,Intermediate,Biomedical Engineer
Arts,Writing,95,71,79,89,43,Beginner,Graphic Designer
PCM,AI,88,72,67,69,50,Beginner,Data Scientist
Arts,Human Behavior,55,78,54,73,51,Beginner,Psychologist
PCMB,Biotech,71,44,93,42,90,Advanced,Genetic Engineer
PCMB,Biotech,98,87,40,74,56,Beginner,Genetic Engineer
Commerce,Finance,86,48,56,81,65,Intermediate,Investment Banker
PCMB,Biotech,84,48,100,78,55,Beginner,Biomedical Engineer
PCB,Medical,65,95,41,58,100,Advanced,Microbiologist
Arts,Writing,84,57,41,44,92,Advanced,Lawyer
PCM,AI,89,61,86,62,98,Advanced,Civil Engineer
Arts,Writing,87,60,66,76,82,Advanced,Graphic Designer
PCB,Medical,44,42,91,67,53,Beginner,Doctor
PCM,AI,61,74,43,65,62,Intermediate,Mechanical Engineer
Commerce,Marketing,54,96,60,90,92,Advanced,Business Analyst
Commerce,Finance,68,48,43,74,53,Beginner,Chartered Accountant
PCM,Data,55,57,87,64,54,Beginner,AI Engineer
PCB,Healthcare,73,67,41,76,100,Advanced,Pharmacist
PCB,Medical,81,98,45,40,46,Beginner,Biotechnologist
Commerce,Business,61,57,76,61,42,Beginner,Investment Banker
PCMB,Research,100,93,85,93,74,Intermediate,Genetic Engineer
PCMB,Research,52,83,48,49,73,Intermediate,Biomedical Engineer
PCB,Healthcare,77,61,63,45,67,Intermediate,Microbiologist
Arts,Writing,77,44,43,40,93,Advanced,Graphic Designer
Arts,Design,43,52,100,44,74,Intermediate,Psychologist
Commerce,Finance,95,73,50,74,50,Beginner,Chartered Accountant
PCB,Research,92,58,94,84,76,Intermediate,Pharmacist
PCM,Technology,86,75,56,89,96,Advanced,Mechanical Engineer
PCMB,AI,83,66,96,84,76,Intermediate,Genetic Engineer
PCM,Data,54,89,47,92,87,Advanced,AI Engineer
PCM,Engineering,73,74,94,56,58,Beginner,Software Developer
Commerce,Business,95,98,84,62,61,Intermediate,Financial Analyst
Commerce,Finance,42,57,100,91,80,Intermediate,Business Analyst
Commerce,Finance,97,92,83,41,70,Intermediate,Financial Analyst
Arts,Human Behavior,53,50,92,90,51,Beginner,Psychologist
PCM,Technology,42,55,69,53,63,Intermediate,Software Developer
PCB,Research,47,59,63,89,69,Intermediate,Microbiologist
Arts,Design,71,63,44,99,85,Advanced,Psychologist
PCM,AI,63,67,96,91,93,Advanced,AI Engineer
PCB,Research,41,57,50,85,86,Advanced,Microbiologist
PCM,AI,82,96,67,92,50,Beginner,AI Engineer
PCMB,Biotech,75,93,61,59,94,Advanced,Bioinformatics Scientist
PCB,Healthcare,55,64,51,48,100,Advanced,Nutritionist
PCB,Healthcare,63,82,72,75,89,Advanced,Doctor
PCM,Data,77,76,54,89,64,Intermediate,Data Scientist
Commerce,Business,95,96,55,85,88,Advanced,Business Analyst
PCM,Engineering,52,59,97,92,77,Intermediate,Civil Engineer
PCMB,AI,44,57,92,98,55,Beginner,Biomedical Engineer
PCM,Technology,74,43,83,69,87,Advanced,Data Scientist
Commerce,Business,68,52,89,79,76,Intermediate,Business Analyst
Commerce,Business,41,58,77,40,91,Advanced,Investment Banker
PCMB,AI,78,48,82,65,95,Advanced,Biomedical Engineer
Arts,Human Behavior,88,55,82,45,58,Beginner,Psychologist
Arts,Design,54,74,82,69,100,Advanced,Psychologist
PCM,Technology,87,65,80,78,72,Intermediate,Software Developer
Commerce,Business,83,55,92,95,64,Intermediate,Investment Banker
PCMB,AI,62,51,57,74,99,Advanced,Bioinformatics Scientist
Arts,Design,51,69,63,94,42,Beginner,Psychologist
PCMB,AI,53,95,61,57,83,Advanced,Biomedical Engineer
Arts,Writing,88,63,62,59,53,Beginner,Lawyer
PCMB,Research,71,58,52,84,99,Advanced,Genetic Engineer
Arts,Writing,95,89,71,90,95,Advanced,Lawyer
PCB,Research,57,55,46,40,56,Beginner,Nutritionist
Arts,Human Behavior,41,93,81,83,61,Intermediate,Graphic Designer
PCM,Technology,69,52,79,62,44,Beginner,Data Scientist
Arts,Design,90,65,86,47,63,Intermediate,Graphic Designer
Commerce,Marketing,96,59,82,90,58,Beginner,Financial Analyst
Arts,Design,81,40,48,81,87,Advanced,Psychologist
Arts,Human Behavior,92,72,81,44,60,Beginner,Lawyer
Arts,Writing,55,96,99,70,47,Beginner,Graphic Designer
Commerce,Finance,57,53,74,59,62,Intermediate,Financial Analyst
PCB,Research,87,46,42,68,57,Beginner,Nurse
Arts,Design,85,90,72,68,64,Intermediate,Psychologist
PCB,Healthcare,67,93,93,42,67,Intermediate,Biotechnologist
Commerce,Business,41,97,70,89,50,Beginner,Chartered Accountant
PCB,Medical,99,70,86,53,82,Advanced,Microbiologist
PCM,Engineering,97,66,53,82,48,Beginner,Data Scientist
PCB,Research,48,63,75,80,46,Beginner,Pharmacist
Arts,Design,95,57,82,58,57,Beginner,Psychologist
PCM,Technology,42,80,75,87,86,Advanced,Data Scientist
PCB,Healthcare,60,71,99,53,87,Advanced,Nutritionist
PCMB,Biotech,68,99,63,43,84,Advanced,Biomedical Engineer
Commerce,Finance,72,52,50,66,62,Intermediate,Chartered Accountant
Arts,Design,46,68,90,81,52,Beginner,Psychologist
Commerce,Finance,56,79,63,97,50,Beginner,Chartered Accountant
Commerce,Business,66,80,44,66,42,Beginner,Financial Analyst
PCMB,Biotech,89,96,93,87,80,Intermediate,Genetic Engineer
Commerce,Marketing,49,68,74,51,93,Advanced,Financial Analyst
Commerce,Finance,69,82,99,99,47,Beginner,Investment Banker
PCM,AI,47,83,51,49,42,Beginner,Mechanical Engineer
PCM,Engineering,49,57,97,63,42,Beginner,Data Scientist
PCM,Engineering,77,78,94,60,67,Intermediate,Mechanical Engineer
Commerce,Finance,47,68,72,56,52,Beginner,Business Analyst
Commerce,Finance,88,52,65,58,86,Advanced,Chartered Accountant
PCB,Medical,78,70,45,78,44,Beginner,Biotechnologist
Arts,Design,62,78,54,61,77,Intermediate,Graphic Designer
PCM,Data,46,72,57,45,71,Intermediate,Civil Engineer
PCM,AI,60,89,92,74,60,Beginner,Civil Engineer
PCMB,Research,49,80,74,96,80,Intermediate,Biomedical Engineer
PCM,Engineering,75,41,40,57,69,Intermediate,Software Developer
PCB,Research,54,88,66,96,81,Advanced,Microbiologist
PCM,Data,60,73,87,73,67,Intermediate,Data Scientist
PCM,Engineering,46,51,96,90,89,Advanced,Civil Engineer
PCB,Healthcare,94,63,84,77,97,Advanced,Nutritionist
PCM,Data,89,41,59,49,67,Intermediate,Civil Engineer
Commerce,Finance,67,97,86,59,55,Beginner,Chartered Accountant
PCMB,Research,46,100,64,51,63,Intermediate,Biomedical Engineer
PCM,AI,70,62,92,68,45,Beginner,AI Engineer
PCM,AI,75,45,83,63,89,Advanced,Data Scientist
PCM,AI,96,75,67,100,40,Beginner,Software Developer
PCMB,Research,74,53,63,70,87,Advanced,Genetic Engineer
Commerce,Marketing,55,61,71,81,55,Beginner,Chartered Accountant
PCM,Engineering,40,93,60,79,44,Beginner,AI Engineer
PCMB,Research,49,85,85,40,57,Beginner,Bioinformatics Scientist
PCB,Healthcare,68,45,86,40,57,Beginner,Nutritionist
Commerce,Marketing,50,86,68,80,56,Beginner,Chartered Accountant
PCB,Healthcare,74,48,47,67,74,Intermediate,Microbiologist
Arts,Human Behavior,65,90,62,86,74,Intermediate,Lawyer
PCB,Healthcare,51,72,43,45,85,Advanced,Nurse
Commerce,Finance,99,91,82,96,45,Beginner,Financial Analyst
PCMB,Research,92,48,73,77,67,Intermediate,Bioinformatics Scientist
Commerce,Business,99,88,83,77,67,Intermediate,Financial Analyst
Arts,Writing,88,56,55,41,69,Intermediate,Journalist
PCMB,Biotech,70,57,98,48,91,Advanced,Bioinformatics Scientist
PCMB,Biotech,68,62,46,88,47,Beginner,Genetic Engineer
Commerce,Business,45,58,71,99,55,Beginner,Financial Analyst
Arts,Design,97,66,86,83,58,Beginner,Lawyer
Commerce,Marketing,69,58,85,42,71,Intermediate,Business Analyst
Commerce,Marketing,99,76,74,70,77,Intermediate,Business Analyst
Arts,Design,95,58,52,70,63,Intermediate,Psychologist
Commerce,Marketing,49,71,49,67,95,Advanced,Chartered Accountant
Arts,Writing,95,95,61,41,66,Intermediate,Lawyer
PCB,Healthcare,48,43,42,72,57,Beginner,Nutritionist
Arts,Design,50,69,94,64,57,Beginner,Lawyer
Arts,Human Behavior,48,97,89,50,89,Advanced,Psychologist
Commerce,Finance,54,87,56,81,77,Intermediate,Financial Analyst
Commerce,Business,91,76,91,52,84,Advanced,Investment Banker
Commerce,Marketing,48,90,46,78,92,Advanced,Chartered Accountant
PCM,Technology,58,86,97,63,58,Beginner,Software Developer
Commerce,Finance,84,68,94,69,57,Beginner,Financial Analyst
Arts,Writing,41,44,46,81,51,Beginner,Journalist
PCMB,Research,44,92,84,42,96,Advanced,Biomedical Engineer
PCB,Research,51,97,84,47,68,Intermediate,Microbiologist
PCMB,Biotech,85,95,42,69,48,Beginner,Bioinformatics Scientist
Commerce,Marketing,82,99,84,97,65,Intermediate,Financial Analyst
Arts,Writing,54,95,68,65,93,Advanced,Journalist
PCB,Research,88,86,58,98,53,Beginner,Doctor
PCMB,Biotech,61,90,68,84,88,Advanced,Biomedical Engineer
PCMB,Biotech,93,52,63,100,40,Beginner,Biomedical Engineer
PCM,Data,48,45,81,55,75,Intermediate,Software Developer
PCB,Research,92,41,87,63,46,Beginner,Microbiologist
PCB,Healthcare,88,67,85,58,51,Beginner,Doctor
Commerce,Finance,43,49,79,66,60,Beginner,Chartered Accountant
Commerce,Marketing,51,62,71,100,71,Intermediate,Financial Analyst
PCMB,Biotech,47,73,78,90,80,Intermediate,Biomedical Engineer
PCM,Engineering,67,48,77,81,49,Beginner,AI Engineer
PCB,Research,86,46,93,82,79,Intermediate,Doctor
PCB,Medical,60,91,73,44,62,Intermediate,Pharmacist
PCM,Engineering,88,92,81,58,53,Beginner,Mechanical Engineer
PCM,Data,82,66,51,52,64,Intermediate,Data Scientist
PCMB,AI,51,92,66,54,82,Advanced,Biomedical Engineer
Commerce,Business,95,82,47,69,63,Intermediate,Investment Banker
PCMB,AI,46,48,62,89,78,Intermediate,Genetic Engineer
Arts,Design,100,55,55,45,85,Advanced,Journalist
PCM,AI,56,82,85,80,100,Advanced,AI Engineer
PCM,Engineering,72,80,46,48,51,Beginner,Mechanical Engineer
Commerce,Marketing,73,68,80,58,59,Beginner,Chartered Accountant
Arts,Design,68,74,49,73,99,Advanced,Lawyer
Arts,Human Behavior,50,66,71,93,72,Intermediate,Graphic Designer
PCMB,AI,85,72,99,82,47,Beginner,Biomedical Engineer
PCB,Healthcare,100,93,65,76,98,Advanced,Nutritionist
Commerce,Marketing,52,71,71,77,98,Advanced,Chartered Accountant
PCB,Healthcare,52,78,91,40,53,Beginner,Doctor
PCMB,AI,67,64,47,64,42,Beginner,Bioinformatics Scientist
PCMB,Biotech,68,90,84,85,96,Advanced,Genetic Engineer
PCMB,Research,70,53,78,40,57,Beginner,Bioinformatics Scientist
Commerce,Finance,86,52,48,46,89,Advanced,Chartered Accountant
PCB,Medical,61,74,55,60,43,Beginner,Pharmacist
Arts,Design,72,59,91,45,61,Intermediate,Lawyer
Arts,Design,95,59,59,54,54,Beginner,Lawyer
Arts,Design,82,83,78,47,59,Beginner,Lawyer
Commerce,Business,100,44,50,78,53,Beginner,Financial Analyst
PCMB,Research,57,64,40,66,47,Beginner,Genetic Engineer
PCMB,Biotech,44,96,55,66,70,Intermediate,Genetic Engineer
PCB,Healthcare,94,45,73,99,85,Advanced,Nutritionist
PCMB,AI,66,97,56,100,47,Beginner,Bioinformatics Scientist
Commerce,Marketing,46,83,74,51,57,Beginner,Chartered Accountant
PCMB,Research,47,58,60,47,92,Advanced,Bioinformatics Scientist
Arts,Writing,46,75,76,95,48,Beginner,Graphic Designer
Commerce,Marketing,77,88,44,67,99,Advanced,Financial Analyst
Arts,Writing,53,57,54,51,69,Intermediate,Graphic Designer
Commerce,Finance,89,76,55,100,45,Beginner,Financial Analyst
PCB,Healthcare,64,64,53,63,64,Intermediate,Nurse
Commerce,Business,42,75,63,69,41,Beginner,Investment Banker
PCMB,AI,85,71,97,65,43,Beginner,Genetic Engineer
PCB,Medical,68,47,99,99,73,Intermediate,Pharmacist
Arts,Writing,88,54,80,70,58,Beginner,Journalist
Arts,Writing,67,63,87,58,97,Advanced,Journalist
PCMB,Research,49,92,57,78,84,Advanced,Genetic Engineer
Commerce,Marketing,48,89,49,48,91,Advanced,Chartered Accountant
PCM,Technology,56,52,62,68,98,Advanced,Mechanical Engineer
PCMB,AI,46,90,75,92,44,Beginner,Genetic Engineer
PCB,Medical,89,53,53,66,83,Advanced,Nutritionist
PCM,Engineering,97,77,52,49,62,Intermediate,Software Developer
PCB,Medical,49,62,92,70,90,Advanced,Biotechnologist
Arts,Human Behavior,77,69,53,57,61,Intermediate,Psychologist
Arts,Design,94,87,97,96,56,Beginner,Journalist
PCM,AI,98,90,44,67,67,Intermediate,Data Scientist
PCMB,Biotech,56,92,63,68,64,Intermediate,Bioinformatics Scientist
PCMB,AI,81,98,52,47,58,Beginner,Bioinformatics Scientist
Arts,Design,77,69,86,40,100,Advanced,Psychologist
PCM,Data,80,67,78,74,76,Intermediate,Data Scientist
Commerce,Marketing,70,91,84,97,87,Advanced,Investment Banker
Arts,Human Behavior,85,76,91,71,52,Beginner,Psychologist
Commerce,Marketing,95,66,87,51,99,Advanced,Business Analyst
Commerce,Marketing,60,48,96,79,100,Advanced,Investment Banker
PCMB,Biotech,81,92,89,60,95,Advanced,Bioinformatics Scientist
Commerce,Business,61,81,68,76,76,Intermediate,Investment Banker
Commerce,Business,49,93,51,79,82,Advanced,Investment Banker
PCM,Technology,40,75,46,95,86,Advanced,Mechanical Engineer
Commerce,Business,49,51,95,82,99,Advanced,Business Analyst
Arts,Design,79,89,66,94,66,Intermediate,Lawyer
PCB,Medical,67,56,80,87,85,Advanced,Biotechnologist
PCM,Engineering,46,48,52,94,74,Intermediate,Civil Engineer
PCMB,Biotech,64,51,69,41,100,Advanced,Genetic Engineer
Arts,Writing,83,98,55,86,47,Beginner,Psychologist
Arts,Human Behavior,63,42,47,76,64,Intermediate,Journalist
PCMB,Biotech,54,46,65,69,87,Advanced,Genetic Engineer
Arts,Writing,61,80,67,66,79,Intermediate,Journalist
PCM,Data,85,100,80,82,80,Intermediate,Mechanical Engineer
PCMB,AI,44,85,90,45,82,Advanced,Bioinformatics Scientist
Arts,Design,89,63,60,85,43,Beginner,Psychologist
Commerce,Marketing,69,42,91,58,42,Beginner,Chartered Accountant
Commerce,Finance,51,83,67,100,62,Intermediate,Financial Analyst
Commerce,Finance,66,86,62,96,65,Intermediate,Chartered Accountant
Commerce,Marketing,83,53,86,99,69,Intermediate,Investment Banker
Commerce,Business,91,67,42,54,99,Advanced,Business Analyst
Commerce,Business,83,70,81,72,84,Advanced,Investment Banker
PCM,Data,75,76,82,80,52,Beginner,AI Engineer
PCB,Medical,61,82,79,44,82,Advanced,Nutritionist
Arts,Design,42,48,65,94,61,Intermediate,Graphic Designer
Arts,Writing,72,88,92,70,98,Advanced,Journalist
Arts,Design,55,58,47,64,55,Beginner,Journalist
PCM,Technology,66,87,47,45,43,Beginner,Civil Engineer
PCMB,Biotech,55,99,95,95,90,Advanced,Genetic Engineer
PCB,Research,70,93,55,80,62,Intermediate,Nurse
PCB,Medical,42,52,75,86,71,Intermediate,Nurse
Arts,Human Behavior,91,80,98,43,95,Advanced,Journalist
Arts,Human Behavior,98,58,92,41,45,Beginner,Graphic Designer
PCMB,Biotech,56,89,49,44,60,Beginner,Biomedical Engineer
Arts,Writing,40,40,98,41,93,Advanced,Lawyer
PCMB,Research,48,100,47,40,74,Intermediate,Genetic Engineer
Arts,Human Behavior,52,58,63,56,89,Advanced,Psychologist
PCM,Data,79,70,92,87,74,Intermediate,Data Scientist
PCB,Medical,59,66,76,51,54,Beginner,Doctor
PCMB,AI,51,77,97,55,84,Advanced,Biomedical Engineer
PCMB,Research,48,54,75,79,41,Beginner,Bioinformatics Scientist
Commerce,Marketing,78,83,77,87,46,Beginner,Financial Analyst
PCB,Research,71,48,92,90,61,Intermediate,Nurse
PCMB,Biotech,99,53,68,65,69,Intermediate,Genetic Engineer
Arts,Human Behavior,45,84,48,67,91,Advanced,Psychologist
PCB,Medical,41,84,53,57,97,Advanced,Nutritionist
Arts,Writing,82,79,55,58,60,Beginner,Lawyer
Arts,Human Behavior,92,91,57,92,41,Beginner,Lawyer
PCMB,Biotech,89,64,44,46,59,Beginner,Biomedical Engineer
PCB,Medical,61,48,48,97,54,Beginner,Pharmacist
PCB,Healthcare,52,96,53,66,55,Beginner,Nurse
Commerce,Finance,77,86,40,40,99,Advanced,Financial Analyst
Commerce,Business,42,41,55,57,88,Advanced,Business Analyst
PCMB,Research,75,98,100,61,69,Intermediate,Bioinformatics Scientist
PCM,Technology,97,54,97,65,42,Beginner,Software Developer
PCB,Healthcare,66,71,59,60,63,Intermediate,Nurse
PCB,Research,68,51,50,93,92,Advanced,Doctor
Commerce,Business,53,41,92,81,58,Beginner,Business Analyst
PCM,Engineering,70,75,78,43,65,Intermediate,Civil Engineer
PCM,Data,68,64,74,79,93,Advanced,AI Engineer
Arts,Writing,85,97,64,41,74,Intermediate,Graphic Designer
Arts,Human Behavior,75,51,54,58,74,Intermediate,Graphic Designer
Commerce,Marketing,74,84,69,65,84,Advanced,Financial Analyst
PCB,Medical,43,57,80,48,88,Advanced,Biotechnologist
Arts,Design,87,80,50,55,98,Advanced,Graphic Designer
PCM,AI,85,72,84,83,75,Intermediate,Data Scientist
Arts,Human Behavior,96,47,98,51,68,Intermediate,Journalist
Commerce,Marketing,48,64,86,100,88,Advanced,Chartered Accountant
PCMB,Biotech,56,73,93,50,54,Beginner,Genetic Engineer
PCM,Engineering,44,80,60,43,47,Beginner,Software Developer
PCM,Data,74,57,59,97,97,Advanced,Mechanical Engineer
Arts,Design,69,52,75,92,73,Intermediate,Psychologist
Arts,Human Behavior,40,62,56,89,55,Beginner,Graphic Designer
Arts,Human Behavior,88,42,40,66,90,Advanced,Graphic Designer
PCMB,Research,54,66,60,95,40,Beginner,Bioinformatics Scientist
Commerce,Finance,43,81,75,76,75,Intermediate,Business Analyst
Commerce,Finance,44,49,93,93,41,Beginner,Financial Analyst
Commerce,Finance,86,98,94,83,92,Advanced,Business Analyst
PCB,Medical,67,68,81,75,58,Beginner,Nurse
PCM,Technology,73,43,59,96,48,Beginner,Mechanical Engineer
PCMB,Biotech,54,81,53,48,83,Advanced,Genetic Engineer
Commerce,Finance,92,78,71,42,43,Beginner,Business Analyst
PCB,Research,51,63,97,71,79,Intermediate,Microbiologist
Commerce,Marketing,46,88,65,92,74,Intermediate,Business Analyst
PCB,Medical,73,91,71,71,73,Intermediate,Biotechnologist
PCB,Research,47,99,71,45,63,Intermediate,Microbiologist
Commerce,Business,68,88,71,51,44,Beginner,Business Analyst
PCB,Healthcare,98,95,40,67,84,Advanced,Pharmacist
PCMB,Research,91,87,96,73,83,Advanced,Genetic Engineer
Arts,Design,93,94,53,61,40,Beginner,Psychologist
PCB,Medical,69,48,95,55,88,Advanced,Nurse
PCB,Medical,100,93,64,80,66,Intermediate,Biotechnologist
PCM,AI,58,100,87,91,91,Advanced,Data Scientist
PCMB,AI,65,94,79,41,66,Intermediate,Biomedical Engineer
PCMB,AI,69,71,55,99,70,Intermediate,Genetic Engineer
Arts,Human Behavior,79,44,88,43,94,Advanced,Journalist
PCMB,AI,43,99,82,74,99,Advanced,Biomedical Engineer
PCB,Healthcare,52,73,49,66,58,Beginner,Pharmacist
PCB,Healthcare,72,52,57,72,64,Intermediate,Doctor
PCM,AI,85,56,88,48,61,Intermediate,Civil Engineer
Arts,Writing,59,40,98,49,88,Advanced,Lawyer
PCMB,Research,88,65,73,69,86,Advanced,Genetic Engineer
PCM,Data,62,49,74,72,99,Advanced,Data Scientist
Commerce,Business,75,45,47,81,90,Advanced,Investment Banker
Commerce,Marketing,52,77,82,71,74,Intermediate,Chartered Accountant
Commerce,Marketing,100,59,61,50,60,Beginner,Investment Banker
Arts,Design,73,50,77,56,97,Advanced,Lawyer
PCMB,Research,76,97,64,55,85,Advanced,Genetic Engineer
PCMB,Research,55,60,55,82,52,Beginner,Genetic Engineer
Commerce,Business,46,66,95,72,47,Beginner,Chartered Accountant
Commerce,Marketing,76,87,86,70,52,Beginner,Chartered Accountant
Commerce,Business,81,66,51,80,42,Beginner,Chartered Accountant
Arts,Writing,68,54,59,100,78,Intermediate,Lawyer
Commerce,Finance,62,78,49,41,61,Intermediate,Chartered Accountant
Arts,Human Behavior,53,61,66,56,92,Advanced,Psychologist
Arts,Human Behavior,71,55,86,72,99,Advanced,Graphic Designer
PCM,AI,77,80,58,76,57,Beginner,Data Scientist
PCMB,AI,65,67,99,52,75,Intermediate,Genetic Engineer
PCM,AI,58,61,80,82,87,Advanced,AI Engineer
PCMB,AI,78,62,78,79,40,Beginner,Biomedical Engineer
PCMB,AI,82,52,99,50,87,Advanced,Genetic Engineer
PCMB,Biotech,50,40,50,54,74,Intermediate,Biomedical Engineer
Arts,Design,60,85,76,51,88,Advanced,Journalist
PCM,Data,50,62,66,76,99,Advanced,Data Scientist
PCB,Research,100,94,98,75,64,Intermediate,Nurse
Commerce,Marketing,81,41,82,89,68,Intermediate,Business Analyst
PCMB,Biotech,51,72,90,77,57,Beginner,Bioinformatics Scientist
PCMB,AI,69,48,79,49,57,Beginner,Biomedical Engineer
PCB,Research,89,50,70,52,96,Advanced,Nurse
Commerce,Finance,53,97,62,66,88,Advanced,Investment Banker
PCMB,AI,57,91,84,67,82,Advanced,Genetic Engineer
PCB,Healthcare,42,59,72,43,98,Advanced,Doctor
Commerce,Finance,58,85,92,94,90,Advanced,Chartered Accountant
Arts,Writing,44,74,74,89,44,Beginner,Lawyer
Commerce,Marketing,80,100,42,80,81,Advanced,Chartered Accountant
PCMB,AI,76,86,58,71,74,Intermediate,Bioinformatics Scientist
Arts,Writing,89,96,73,76,99,Advanced,Lawyer
Arts,Human Behavior,56,49,73,83,63,Intermediate,Journalist
Commerce,Marketing,85,87,55,99,66,Intermediate,Financial Analyst
Arts,Writing,52,61,60,82,92,Advanced,Psychologist
PCB,Research,71,92,76,82,100,Advanced,Pharmacist
Arts,Design,43,56,52,56,71,Intermediate,Psychologist
PCMB,AI,99,84,87,42,61,Intermediate,Genetic Engineer
PCM,Data,75,75,43,95,45,Beginner,AI Engineer
Commerce,Marketing,91,94,46,61,66,Intermediate,Business Analyst
PCMB,Research,72,56,45,100,87,Advanced,Bioinformatics Scientist
Arts,Design,93,72,59,96,96,Advanced,Lawyer
PCMB,Biotech,78,71,51,65,46,Beginner,Bioinformatics Scientist
PCMB,AI,66,86,99,42,50,Beginner,Genetic Engineer
PCB,Medical,41,49,51,40,82,Advanced,Biotechnologist
PCM,Technology,74,49,70,50,97,Advanced,AI Engineer
Commerce,Business,71,56,65,90,77,Intermediate,Financial Analyst
Commerce,Business,63,75,53,61,41,Beginner,Chartered Accountant
Commerce,Marketing,59,42,90,44,42,Beginner,Financial Analyst
Arts,Design,75,71,45,45,55,Beginner,Graphic Designer
PCMB,Research,56,100,67,84,42,Beginner,Biomedical Engineer
PCB,Medical,64,75,96,78,50,Beginner,Pharmacist
Arts,Design,74,40,91,40,48,Beginner,Journalist
Commerce,Business,77,98,73,96,50,Beginner,Investment Banker
Commerce,Marketing,92,74,75,68,68,Intermediate,Financial Analyst
PCM,AI,49,89,90,51,44,Beginner,Civil Engineer
PCM,Data,78,52,88,81,83,Advanced,Software Developer
PCB,Healthcare,78,67,84,71,65,Intermediate,Doctor
PCMB,Research,74,82,87,97,41,Beginner,Bioinformatics Scientist
PCM,AI,51,65,47,60,61,Intermediate,Mechanical Engineer
Commerce,Marketing,96,49,100,100,49,Beginner,Business Analyst
Arts,Human Behavior,92,58,45,98,61,Intermediate,Lawyer
Commerce,Finance,50,80,53,98,82,Advanced,Financial Analyst
PCMB,Biotech,75,84,95,86,76,Intermediate,Bioinformatics Scientist
PCMB,Research,42,99,73,100,80,Intermediate,Genetic Engineer
Arts,Human Behavior,62,90,96,50,65,Intermediate,Lawyer
Arts,Human Behavior,60,78,43,43,71,Intermediate,Graphic Designer
PCB,Healthcare,96,65,91,83,92,Advanced,Biotechnologist
PCMB,Biotech,55,46,45,78,63,Intermediate,Bioinformatics Scientist
Arts,Design,42,95,100,66,71,Intermediate,Psychologist
PCMB,AI,92,88,64,71,47,Beginner,Genetic Engineer
PCB,Research,90,94,66,99,93,Advanced,Pharmacist
Commerce,Finance,97,63,81,55,66,Intermediate,Chartered Accountant
Commerce,Marketing,44,71,71,66,41,Beginner,Investment Banker
PCM,Data,78,64,85,86,43,Beginner,Data Scientist
PCMB,AI,41,49,55,77,77,Intermediate,Genetic Engineer
PCB,Medical,80,45,93,42,77,Intermediate,Pharmacist
Arts,Human Behavior,62,53,64,82,54,Beginner,Psychologist
PCM,Data,59,95,58,77,53,Beginner,Civil Engineer
Commerce,Business,55,76,78,92,88,Advanced,Financial Analyst
Commerce,Marketing,95,60,93,99,100,Advanced,Business Analyst
PCB,Healthcare,99,88,87,60,87,Advanced,Nurse
Arts,Writing,83,62,47,83,81,Advanced,Graphic Designer
PCB,Research,69,75,52,66,92,Advanced,Doctor
PCB,Healthcare,45,47,42,43,86,Advanced,Nutritionist
PCM,Data,68,90,78,57,89,Advanced,Civil Engineer
